序號,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,光線,道路類別,速限_速度(公里),道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS緯度,GPS經度,事故類別,縣市別代碼,機關代碼,市話,傳真
27,2023,03,1,7,22,臺中市,大肚區,0,4,0,8,1,5,30,4,1,1,5,4,5,7,4,4,10,5,5,2,16,6,2,8,3,4,C03,7,9,1,10,2,11,"  ",23,6,1,22,9,C03,120.575659,24.172124,2,66000,387130000C,(04)23289100,(04)25368667
28,2023,03,1,7,23,臺中市,西屯區,0,3,0,8,1,5,40,4,1,1,5,4,5,7,2,1,5,4,4,2,16,8,2,9,3,4,C03,7,5,1,10,2,11,"  ",8,8,1,22,8,C03,120.656748,24.168851,2,66000,387130000C,(04)23289100,(04)25368667
29,2023,03,1,7,28,臺中市,大里區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,9,5,5,2,16,19,2,9,1,1,C03,7,1,1,10,2,11,"  ",19,19,1,22,8,C03,120.695631,24.096561,2,66000,387130000C,(04)23289100,(04)25368667
30,2023,03,1,7,30,臺中市,南屯區,0,1,0,8,1,5,40,3,1,1,5,4,5,7,2,1,10,5,5,2,12,43,3,10,1,1,B03,7,6,1,8,2,4,"  ",43,43,1,22,9,B03,120.597556,24.155362,2,66000,387130000C,(04)23289100,(04)25368667
31,2023,03,1,7,32,臺中市,潭子區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",2,"  ","  ",23,"   ",1,22,"  ",B03,120.700678,24.212196,3,66000,387130000C,(04)23289100,(04)25368667
32,2023,03,1,7,33,臺中市,西屯區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,1,1,1,4,5,2,12,17,3,10,1,1,B03,7,9,1,8,2,5,"  ",17,17,1,22,8,B03,120.656054,24.198632,2,66000,387130000C,(04)23289100,(04)25368667
33,2023,03,1,7,35,臺中市,南區,0,1,0,8,1,5,50,14,8,1,5,4,5,7,4,4,9,5,4,2,12,7,3,10,1,1,B03,7,8,1,8,2,6,"  ",7,7,1,21,8,B03,120.65344,24.121946,2,66000,387130000C,(04)23289100,(04)25368667
34,2023,03,1,7,35,臺中市,大里區,0,0,0,8,1,5,60,3,2,1,5,4,5,7,1,1,1,4,5,1,13,23,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",2,"  ","  ",23,"   ",1,22,"  ",B03,120.676282,24.086055,3,66000,387130000C,(04)23289100,(04)25368667
35,2023,03,1,7,36,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",C02,"  ","  ",1,"  ",11,"  ","  ",23,"   ",1,21,"  ",C02,120.721811,24.181854,3,66000,387130000C,(04)23289100,(04)25368667
36,2023,03,1,7,37,臺中市,沙鹿區,0,0,0,,,,50,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",2,"  ","  ",23,23,1,21,"  ",B03,120.586423,24.249791,3,66000,387130000C,(04)23289100,(04)25368667
37,2023,03,1,7,39,臺中市,沙鹿區,0,1,0,8,1,5,30,3,1,1,5,4,5,7,4,4,10,5,5,2,13,23,3,10,1,1,C03,7,5,1,10,2,11,"  ",23,23,1,4,8,C03,120.560488,24.235244,2,66000,387130000C,(04)23289100,(04)25368667
38,2023,03,1,7,40,臺中市,大肚區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,1,1,5,5,5,2,16,26,2,8,3,4,C03,7,5,1,10,2,11,"  ",26,26,1,22,9,C03,120.57579,24.162434,2,66000,387130000C,(04)23289100,(04)25368667
39,2023,03,1,7,41,臺中市,西區,0,1,0,8,1,5,40,4,1,1,5,4,5,7,2,1,10,5,5,2,13,23,3,10,1,1,C03,7,9,1,10,2,11,"  ",23,23,1,22,8,C03,120.657511,24.133837,2,66000,387130000C,(04)23289100,(04)25368667
40,2023,03,1,7,41,臺中市,沙鹿區,0,0,0,8,,,60,,,,,,,,,,,,,,,16,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",2,"  ","  ",16,"   ",1,3,"  ",B03,120.583323,24.249947,3,66000,387130000C,(04)23289100,(04)25368667
41,2023,03,1,7,47,臺中市,南區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,5,5,2,16,23,2,9,1,1,C03,7,9,1,10,2,11,"  ",23,23,1,22,8,C03,120.653331,24.12623,2,66000,387130000C,(04)23289100,(04)25368667
42,2023,03,1,7,48,臺中市,太平區,0,3,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,16,8,2,9,1,1,C03,7,5,5,18,2,14,12,8,8,1,22,8,C03,120.732783,24.11689,2,66000,387130000C,(04)23289100,(04)25368667
43,2023,03,1,7,49,臺中市,西屯區,0,1,0,8,1,5,30,4,1,1,5,4,5,7,4,4,10,5,5,2,17,8,2,8,1,1,C03,7,5,1,10,1,14,"  ",8,8,1,22,8,C03,120.618659,24.175408,2,66000,387130000C,(04)23289100,(04)25368667
44,2023,03,1,7,50,臺中市,龍井區,0,1,0,8,1,5,70,14,8,1,5,3,5,7,4,4,1,4,5,1,29,23,2,9,3,4,C03,7,15,1,10,2,11,"  ",23,23,1,4,1,C03,120.507288,24.213943,2,66000,387130000C,(04)23289100,(04)25368667
45,2023,03,1,7,53,臺中市,潭子區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",2,"  ","  ",23,"   ",1,22,"  ",B03,120.720053,24.194592,3,66000,387130000C,(04)23289100,(04)25368667
46,2023,03,1,7,53,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,6,"  ","  ","  ","  ",C03,"  ","  ",1,"  ",1,"  ","  ",6,"   ",1,22,"  ",C03,120.720185,24.175908,3,66000,387130000C,(04)23289100,(04)25368667
47,2023,03,1,7,55,臺中市,北區,0,1,0,8,1,5,50,4,2,1,5,4,5,7,2,1,1,4,5,2,16,7,3,10,1,1,C03,7,15,1,10,2,12,"  ",44,7,1,21,8,C03,120.67543,24.165469,2,66000,387130000C,(04)23289100,(04)25368667
48,2023,03,1,7,55,臺中市,霧峰區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,5,5,5,1,10,26,3,10,1,1,B12,7,9,1,8,2,1,"  ",26,26,1,4,8,B12,120.706026,24.060411,2,66000,387130000C,(04)23289100,(04)25368667
49,2023,03,1,7,55,臺中市,烏日區,0,0,0,8,,,50,,,,,,,,,,,,,,,42,"  ","  ","  ","  ","   ","  ","  ","  ","  ","  ","  ","  ",42,"   ",1,"  ","  ","   ",120.642914,24.07567,3,66000,387130000C,(04)23289100,(04)25368667
50,2023,03,1,7,57,臺中市,西屯區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,1,1,4,3,4,2,16,25,2,9,1,1,C03,7,9,3,18,2,12,"  ",25,25,1,22,8,C03,120.663397,24.176412,2,66000,387130000C,(04)23289100,(04)25368667
51,2023,03,1,7,59,臺中市,南屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,4,3,5,2,12,9,3,10,1,1,B03,7,6,1,8,2,2,"  ",9,9,1,22,8,B03,120.653096,24.149774,2,66000,387130000C,(04)23289100,(04)25368667
52,2023,03,1,7,59,臺中市,南屯區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,5,5,2,16,23,3,10,1,1,A12,7,9,1,8,2,2,"  ",23,23,1,22,8,A12,120.633042,24.149688,2,66000,387130000C,(04)23289100,(04)25368667
53,2023,03,1,8,1,臺中市,潭子區,0,1,0,8,1,5,30,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,2,8,1,1,C03,7,9,1,10,2,11,"  ",6,6,1,22,8,C03,120.678951,24.205619,2,66000,387130000C,(04)23289100,(04)25368667
54,2023,03,1,8,1,臺中市,東區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,13,16,2,8,1,1,C03,7,9,1,10,2,11,"  ",16,16,1,5,8,C03,120.685348,24.129902,2,66000,387130000C,(04)23289100,(04)25368667
55,2023,03,1,8,2,臺中市,北屯區,0,1,0,8,1,5,40,4,2,1,5,4,5,7,2,1,5,5,4,2,17,8,3,10,3,4,B03,7,9,1,8,2,2,"  ",44,8,1,21,8,B03,120.671215,24.175124,2,66000,387130000C,(04)23289100,(04)25368667
56,2023,03,1,8,5,臺中市,大里區,0,0,0,8,,,50,,,,,,,,,,,,,,,17,"  ","  ","  ","  ",A12,"  ","  ",1,"  ",9,"  ","  ",17,"   ",1,22,"  ",A12,120.69988,24.102436,3,66000,387130000C,(04)23289100,(04)25368667
57,2023,03,1,8,6,臺中市,龍井區,0,1,0,8,1,5,30,14,9,1,5,4,5,7,4,4,10,5,5,2,11,23,3,10,3,4,B03,7,14,1,8,2,8,"  ",44,23,1,22,9,B03,120.577676,24.18268,2,66000,387130000C,(04)23289100,(04)25368667
58,2023,03,1,8,8,臺中市,南屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,2,1,1,2,1,2,16,25,3,10,1,1,B12,7,6,1,8,2,2,6,25,25,1,4,1,B12,120.623497,24.149515,2,66000,387130000C,(04)23289100,(04)25368667
59,2023,03,1,8,8,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",1,"  ","  ",23,"   ",1,22,"  ",B03,120.654216,24.19879,3,66000,387130000C,(04)23289100,(04)25368667
60,2023,03,1,8,11,臺中市,龍井區,0,2,0,8,1,5,30,4,1,1,5,4,5,7,3,1,10,5,5,2,17,6,2,9,3,4,B12,7,5,1,8,2,8,"  ",6,6,1,9,3,B12,120.544056,24.180858,2,66000,387130000C,(04)23289100,(04)25368667
61,2023,03,1,8,12,臺中市,沙鹿區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,1,4,4,2,12,42,3,10,1,1,B03,7,6,1,8,2,5,"  ",42,42,1,4,8,B03,120.580544,24.209606,2,66000,387130000C,(04)23289100,(04)25368667
62,2023,03,1,8,13,臺中市,南區,0,0,0,8,1,5,40,4,2,1,5,4,5,7,2,1,10,5,5,2,14,12,"  ","  ","  ","  ",B03,"  ","  ",1,8,2,"  ","  ",12,12,1,5,"  ",B03,120.67035,24.118748,3,66000,387130000C,(04)23289100,(04)25368667
63,2023,03,1,8,16,臺中市,南屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",1,"  ","  ",23,"   ",1,22,"  ",B03,120.652936,24.149846,3,66000,387130000C,(04)23289100,(04)25368667
64,2023,03,1,8,20,臺中市,大雅區,0,1,0,8,1,5,30,3,9,1,5,4,5,7,4,4,10,5,5,1,16,6,3,10,1,1,B03,7,5,3,18,2,5,"  ",6,6,1,22,8,B03,120.676724,24.231792,2,66000,387130000C,(04)23289100,(04)25368667
65,2023,03,1,8,21,臺中市,北區,0,2,0,8,1,5,50,14,9,1,5,4,5,7,4,4,9,5,5,2,16,19,3,10,1,1,B03,7,1,1,8,2,1,"  ",19,19,1,21,8,B03,120.683739,24.16573,2,66000,387130000C,(04)23289100,(04)25368667
66,2023,03,1,8,22,臺中市,沙鹿區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,17,6,2,8,1,1,C03,7,5,1,10,2,11,"  ",6,6,1,18,1,C03,120.571428,24.229702,2,66000,387130000C,(04)23289100,(04)25368667
67,2023,03,1,8,23,臺中市,西屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,2,1,10,5,5,2,18,42,2,9,1,1,C03,7,9,1,10,2,14,"  ",42,42,1,22,8,C03,120.645018,24.178816,2,66000,387130000C,(04)23289100,(04)25368667
68,2023,03,1,8,23,臺中市,西屯區,0,0,0,8,,,40,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",C03,"  ","  ",1,"  ",1,"  ","  ",23,23,1,22,"  ",C03,120.644476,24.202697,3,66000,387130000C,(04)23289100,(04)25368667
69,2023,03,1,8,23,臺中市,烏日區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,10,5,5,2,16,8,3,10,1,1,B03,7,5,1,8,2,8,"  ",8,8,1,21,1,B03,120.648992,24.086072,2,66000,387130000C,(04)23289100,(04)25368667
70,2023,03,1,8,25,臺中市,大雅區,0,0,0,8,,,50,,,,,,,,,,,,,,,12,"  ","  ","  ","  ",C03,"  ","  ",1,"  ",2,"  ","  ",12,12,1,22,"  ",C03,120.635691,24.214984,3,66000,387130000C,(04)23289100,(04)25368667
71,2023,03,1,8,25,臺中市,南區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,2,7,1,1,C03,7,9,1,10,2,12,"  ",6,6,1,22,8,C03,120.682852,24.130746,2,66000,387130000C,(04)23289100,(04)25368667
72,2023,03,1,8,25,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,16,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",1,"  ","  ",16,"   ",1,5,"  ",B03,120.696066,24.165065,3,66000,387130000C,(04)23289100,(04)25368667
73,2023,03,1,8,29,臺中市,豐原區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",2,"  ","  ",23,23,1,21,"  ",B03,120.722136,24.276939,3,66000,387130000C,(04)23289100,(04)25368667
74,2023,03,1,8,30,臺中市,大雅區,0,1,0,8,1,5,50,3,2,1,5,4,5,7,1,1,1,4,5,1,13,23,2,9,1,1,C03,7,9,1,10,2,11,"  ",23,23,1,22,8,C03,120.613509,24.231504,2,66000,387130000C,(04)23289100,(04)25368667
75,2023,03,1,8,30,臺中市,東區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,16,6,2,9,1,1,C03,7,6,1,10,2,12,"  ",6,6,1,22,8,C03,120.684773,24.135225,2,66000,387130000C,(04)23289100,(04)25368667
76,2023,03,1,8,30,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",2,"  ","  ",23,"   ",1,22,"  ",B03,120.642725,24.198431,3,66000,387130000C,(04)23289100,(04)25368667
77,2023,03,1,8,30,臺中市,烏日區,0,2,0,8,1,5,30,4,1,1,5,4,5,7,4,4,10,5,5,2,11,23,2,8,1,1,C03,7,9,1,10,2,11,"  ",23,23,1,21,8,C03,120.642122,24.104061,2,66000,387130000C,(04)23289100,(04)25368667
78,2023,03,1,8,30,臺中市,沙鹿區,0,0,0,8,1,5,50,3,1,1,5,4,5,7,1,1,10,5,5,2,17,23,3,10,1,1,C03,7,9,1,10,2,12,"  ",23,23,1,21,8,C03,120.56183,24.208285,3,66000,387130000C,(04)23289100,(04)25368667
79,2023,03,1,8,30,臺中市,豐原區,0,1,0,8,1,5,30,3,9,1,5,4,5,7,4,4,10,5,5,2,17,23,2,8,1,1,C03,7,9,1,10,2,12,"  ",23,23,1,22,8,C03,120.711054,24.242124,2,66000,387130000C,(04)23289100,(04)25368667
80,2023,03,1,8,32,臺中市,東區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,16,6,2,8,1,1,C03,7,5,1,10,2,12,"  ",6,6,1,21,8,C03,120.696201,24.14275,2,66000,387130000C,(04)23289100,(04)25368667
81,2023,03,1,8,32,臺中市,大甲區,0,0,0,8,,,30,,,,,,,,,,,,,,,12,"  ","  ","  ","  ",B12,"  ","  ",1,"  ",2,"  ","  ",12,"   ",1,21,"  ",B12,120.627363,24.417806,3,66000,387130000C,(04)23289100,(04)25368667
82,2023,03,1,8,36,臺中市,南區,0,0,0,8,,,30,,,,,,,,,,,,,,,6,"  ","  ","  ","  ",B12,"  ","  ",1,"  ",2,"  ","  ",6,"   ",1,22,"  ",B12,120.651957,24.114744,3,66000,387130000C,(04)23289100,(04)25368667
83,2023,03,1,8,38,臺中市,潭子區,0,0,0,8,,,60,,,,,,,,,,,,,,,16,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",2,"  ","  ",16,"   ",1,22,"  ",B03,120.702716,24.196131,3,66000,387130000C,(04)23289100,(04)25368667
84,2023,03,1,8,38,臺中市,潭子區,0,0,0,8,,,60,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",B12,"  ","  ",1,"  ",2,"  ","  ",23,"   ",1,22,"  ",B12,120.702499,24.19689,3,66000,387130000C,(04)23289100,(04)25368667
85,2023,03,1,8,43,臺中市,南區,0,1,0,8,1,5,50,14,8,1,5,4,5,7,4,4,5,5,4,2,17,19,3,10,1,1,C03,7,1,1,10,2,13,"  ",19,19,1,5,8,C03,120.669244,24.114822,2,66000,387130000C,(04)23289100,(04)25368667
86,2023,03,1,8,46,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",B02,"  ","  ",1,"  ",1,"  ","  ",23,"   ",1,22,"  ",B02,120.651069,24.164144,3,66000,387130000C,(04)23289100,(04)25368667
87,2023,03,1,8,47,臺中市,梧棲區,0,2,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,1,16,6,2,9,3,4,C03,7,9,1,10,2,11,"  ",23,6,1,22,8,C03,120.543212,24.251589,2,66000,387130000C,(04)23289100,(04)25368667
88,2023,03,1,8,50,臺中市,沙鹿區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",C03,"  ","  ",1,"  ",1,"  ","  ",23,"   ",1,3,"  ",C03,120.564366,24.244551,3,66000,387130000C,(04)23289100,(04)25368667
89,2023,03,1,8,51,臺中市,西屯區,0,2,0,8,1,5,40,14,8,1,5,4,5,7,4,4,4,5,4,2,16,6,2,7,1,1,C03,7,6,1,10,2,12,"  ",6,6,1,22,8,C03,120.6341,24.167802,2,66000,387130000C,(04)23289100,(04)25368667
90,2023,03,1,8,52,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,16,"  ","  ","  ","  ",C03,"  ","  ",1,"  ",2,"  ","  ",16,"   ",1,22,"  ",C03,120.697745,24.170349,3,66000,387130000C,(04)23289100,(04)25368667
91,2023,03,1,8,52,臺中市,烏日區,0,0,0,8,,,30,,,,,,,,,,,,,,,7,"  ","  ","  ","  ",B12,"  ","  ",1,"  ",2,"  ","  ",7,"   ",1,21,"  ",B12,120.64186,24.078724,3,66000,387130000C,(04)23289100,(04)25368667
92,2023,03,1,8,53,臺中市,南區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,1,5,5,2,16,19,2,7,3,4,C03,7,1,1,10,2,14,"  ",19,19,1,5,8,C03,120.657996,24.115956,2,66000,387130000C,(04)23289100,(04)25368667
93,2023,03,1,8,54,臺中市,中區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",B12,"  ","  ",1,"  ",2,"  ","  ",23,"   ",1,4,"  ",B12,120.679913,24.137942,3,66000,387130000C,(04)23289100,(04)25368667
94,2023,03,1,8,56,臺中市,豐原區,0,1,0,8,1,5,50,14,7,1,5,4,5,7,1,1,1,4,4,2,17,19,3,10,1,1,B03,7,1,1,8,2,8,"  ",19,19,1,21,1,B03,120.718855,24.257703,2,66000,387130000C,(04)23289100,(04)25368667
95,2023,03,1,8,59,臺中市,北區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,16,25,2,8,1,1,C03,7,6,1,10,2,14,"  ",25,25,1,22,9,C03,120.682583,24.153366,2,66000,387130000C,(04)23289100,(04)25368667
