序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分(類別),車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS座標X,GPS座標Y,事故類別
17,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,7,11,臺中市,北屯區,0,0,0,8,,,40,,,,,,,,,,,,,,14,49,,,,,B12,,,1,,11,,,49,49,1,13,4,B12,120.72272,24.17233,3
18,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,7,22,臺中市,北屯區,0,1,0,7,2,9,50,13,9,1,5,4,6,6,4,4,5,4,5,2,16,39,3,10,3,1,B03,7,11,1,8,2,7,,39,39,1,12,4,B03,120.718938,24.173597,2
19,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,7,29,臺中市,大里區,0,1,0,7,3,6,50,4,1,1,5,4,6,6,2,1,10,5,5,2,15,21,3,10,3,1,B12,7,9,1,8,2,5,,21,21,1,6,4,B12,120.708812,24.086731,2
20,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,7,30,臺中市,大里區,0,0,0,7,2,6,50,4,2,1,5,4,6,6,1,1,1,2,5,1,14,78,,,,,B03,,,1,,2,,,78,,1,13,4,B03,120.68812,24.094875,3
21,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,7,31,臺中市,北屯區,0,1,0,7,2,6,50,4,7,1,5,4,6,6,1,1,1,4,4,2,13,84,2,9,1,1,C03,7,9,1,10,2,11,,84,84,1,12,4,C03,120.702087,24.184892,2
22,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,7,36,臺中市,太平區,0,0,0,8,,,40,,,,,,,,,,,,,,,59,,,,,B03,,,1,,2,,,59,,1,7,4,B03,120.761899,24.115525,3
23,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,7,40,臺中市,大雅區,0,0,0,7,,,30,,,,,,,,,,,,,,,8,,,,,B12,,,1,,2,,,8,,1,13,4,B12,120.624526,24.24139,3
24,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,7,41,臺中市,沙鹿區,0,1,0,7,3,6,40,13,8,1,5,4,6,6,4,4,3,4,4,1,13,7,2,9,1,1,C03,7,9,1,10,2,11,,7,7,1,13,4,C03,120.616871,24.243497,2
25,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,7,42,臺中市,神岡區,0,0,0,8,,,50,,,,,,,,,,,,,,12,8,,,,,B03,,,1,,2,,,8,,1,13,4,B03,120.682063,24.246853,3
26,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,7,57,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,4,,,,,B03,,,1,,1,,,4,,1,13,4,B03,120.642669,24.182436,3
27,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,8,0,臺中市,龍井區,0,0,0,7,,,30,,,,,,,,,,,,,,,7,,,,,C03,,,1,,2,,,7,,1,6,4,C03,120.578505,24.18178,3
28,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,8,5,臺中市,東區,0,0,0,8,,,80,,,,,,,,,,,,,,2,7,,,,,B12,,,1,,1,,,7,,1,6,4,B12,120.710415,24.139737,3
29,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,8,20,臺中市,東區,0,0,0,8,,,50,,,,,,,,,,,,,,17,45,,,,,B03,,,1,,11,,,45,,1,12,4,B03,120.690261,24.140712,3
30,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,8,20,臺中市,太平區,0,2,0,7,3,6,50,3,1,1,5,4,6,6,1,1,5,4,5,1,12,8,2,9,2,1,C03,7,9,1,10,2,15,,8,8,1,12,4,C03,120.713387,24.133579,2
31,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,8,29,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,13,84,,,,,B03,,,1,,1,,,84,84,1,13,4,B03,120.665138,24.183921,3
32,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,8,30,臺中市,豐原區,0,2,0,7,3,6,50,13,7,1,5,4,6,6,4,4,9,5,4,2,16,51,2,9,1,1,C03,7,1,1,10,2,14,,51,51,1,6,4,C03,120.707663,24.254931,2
33,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,8,35,臺中市,石岡區,0,1,0,7,3,6,30,5,9,1,5,4,6,6,4,4,4,4,5,1,15,15,2,9,1,1,C03,7,9,5,19,2,12,,15,15,1,13,4,C03,120.79258,24.274272,2
34,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,8,36,臺中市,西區,0,2,0,7,2,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,12,42,2,9,1,1,C03,7,7,1,10,2,11,,42,42,1,13,4,C03,120.653005,24.14776,2
35,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,8,36,臺中市,西屯區,0,0,0,7,,,70,,,,,,,,,,,,,,13,7,,,,,B12,,,1,,1,,,7,,1,13,4,B12,120.612373,24.184395,3
36,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,8,38,臺中市,東區,0,2,0,7,2,6,30,4,1,1,5,4,6,6,4,4,10,5,5,2,15,15,2,8,2,1,C03,7,9,1,10,2,12,,15,15,1,6,2,C03,120.705585,24.131213,2
37,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,8,38,臺中市,新社區,0,1,0,7,3,6,30,4,9,1,5,4,6,6,4,4,5,4,5,1,15,12,2,9,2,1,C03,7,9,1,10,2,11,,12,12,1,12,4,C03,120.808556,24.233965,2
38,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,8,52,臺中市,潭子區,0,0,0,7,,,50,,,,,,,,,,,,,,,26,,,,,C03,,,1,,2,,,26,,1,13,4,C03,120.702514,24.193999,3
39,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,8,52,臺中市,烏日區,0,0,0,7,,,50,,,,,,,,,,,,,,,7,,,,,B03,,,1,,2,,,7,,1,12,4,B03,120.625741,24.110485,3
40,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,8,55,臺中市,東勢區,0,2,0,7,3,9,30,13,9,1,5,4,6,6,4,4,10,5,5,2,11,41,2,9,1,1,C03,7,9,1,10,2,14,,41,41,1,12,4,C03,120.829731,24.251502,2
41,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,8,59,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,20,,,,,C03,,,1,,1,,,20,,1,13,4,C03,120.648767,24.168809,3
42,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,9,3,臺中市,太平區,0,1,0,7,3,6,50,13,9,1,5,4,6,6,1,1,5,5,5,1,13,7,2,9,2,1,C03,7,9,1,10,2,11,,7,7,1,12,4,C03,120.721331,24.101346,2
43,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,9,5,臺中市,南屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,59,,,,,B12,,,1,,1,,,59,,1,12,4,B12,120.639253,24.142047,3
44,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,9,5,臺中市,霧峰區,0,0,0,8,,,40,,,,,,,,,,,,,,,40,,,,,C03,,,1,,2,,,40,,1,5,4,C03,120.662522,24.072078,3
45,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,9,6,臺中市,太平區,0,0,0,8,,,30,,,,,,,,,,,,,,8,84,,,,,B03,,,1,,2,,,84,,1,12,4,B03,120.71992,24.153059,3
46,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,9,8,臺中市,西屯區,0,1,0,7,3,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,13,7,3,10,3,1,B03,7,9,1,8,1,3,,7,7,1,6,4,B03,120.638874,24.180134,2
47,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,9,8,臺中市,大肚區,0,1,0,7,3,6,50,13,9,1,5,4,6,6,4,4,10,4,5,2,17,8,3,10,6,1,F02,7,9,7,21,9,12,,8,8,2,12,4,F02,120.545213,24.150613,2
48,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,9,14,臺中市,神岡區,0,0,0,8,,,50,,,,,,,,,,,,,,,7,,,,,B03,,,1,,2,,,7,,1,12,4,B03,120.651595,24.258431,3
49,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,9,16,臺中市,烏日區,0,2,0,7,2,6,50,3,1,1,5,4,6,6,4,4,10,5,5,2,17,14,2,9,1,1,C03,7,6,1,10,2,11,12,14,14,1,12,4,C03,120.628383,24.102474,2
50,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,9,19,臺中市,北區,0,2,0,7,2,6,50,4,1,1,5,4,6,6,2,1,3,4,5,2,13,7,2,9,1,1,C03,7,9,1,10,2,11,,7,7,1,12,4,C03,120.674507,24.162862,2
51,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,9,20,臺中市,北區,0,1,0,7,3,6,50,4,1,1,5,4,6,6,4,4,10,5,5,2,15,13,3,10,3,1,B01,7,9,1,4,2,5,,13,13,1,12,4,B01,120.693686,24.156392,2
52,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,9,20,臺中市,南屯區,0,0,0,7,,,50,,,,,,,,,,,,,,13,7,,,,,B03,,,1,,1,,,7,,1,13,4,B03,120.631514,24.122126,3
53,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,9,20,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,2,7,,,,,C03,,,1,,2,,,7,,1,12,4,C03,120.650834,24.164314,3
54,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,9,27,臺中市,神岡區,0,0,0,8,,,50,,,,,,,,,,,,,,13,7,,,,,B03,,,1,,1,,,7,,1,13,4,B03,120.690824,24.248134,3
55,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,9,29,臺中市,北區,0,2,0,7,2,6,50,4,1,1,5,4,6,6,1,1,5,4,5,2,16,11,2,9,1,1,C03,7,6,1,10,2,12,,11,11,1,12,4,C03,120.672088,24.166873,2
56,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,9,32,臺中市,大里區,0,1,0,7,3,6,50,4,1,1,5,4,6,6,4,4,10,5,5,2,17,14,3,10,3,1,B12,7,6,1,8,2,5,,14,14,1,6,4,B12,120.704204,24.095104,2
57,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,9,32,臺中市,豐原區,0,1,0,7,2,6,50,13,8,1,5,4,6,6,4,4,1,5,4,1,16,40,3,10,5,4,B03,7,7,1,8,2,6,,40,40,1,8,4,B03,120.738426,24.261985,2
58,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,9,32,臺中市,豐原區,0,1,0,7,1,6,30,3,1,1,5,4,6,6,4,4,10,5,5,2,16,6,3,10,3,1,B03,7,6,1,8,2,8,,6,6,1,13,4,B03,120.719189,24.254441,2
59,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,9,37,臺中市,北區,0,0,0,7,,,50,,,,,,,,,,,,,,,4,,,,,C03,,,3,,2,,,4,,1,12,4,C03,120.679068,24.153899,3
60,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,9,40,臺中市,太平區,0,0,0,8,,,50,,,,,,,,,,,,,,,78,,,,,B03,,,1,,1,,,78,,1,12,4,B03,120.723258,24.150522,3
61,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,9,42,臺中市,北屯區,0,1,0,7,2,6,40,4,1,1,5,4,6,6,2,1,10,5,5,2,17,43,2,9,1,1,C03,7,9,1,10,2,11,,43,43,1,12,4,C03,120.722608,24.166912,2
62,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,9,45,臺中市,南區,0,0,0,8,,,50,,,,,,,,,,,,,,12,40,,,,,B03,,,1,,1,,,40,,1,12,4,B03,120.659432,24.118953,3
63,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,9,45,臺中市,太平區,0,0,0,8,,,50,,,,,,,,,,,,,,,58,,,,,C03,,,1,,2,,,58,,1,13,4,C03,120.724796,24.149634,3
64,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,9,50,臺中市,北區,0,0,0,8,,,40,,,,,,,,,,,,,,14,49,,,,,C03,,,1,,2,,,49,,1,13,4,C03,120.668118,24.170199,3
65,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,9,50,臺中市,北屯區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,2,1,10,5,5,2,15,21,3,10,3,1,B03,7,9,1,8,2,5,,21,21,1,12,4,B03,120.699601,24.164929,2
66,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,9,50,臺中市,西屯區,0,2,0,7,2,6,50,4,1,1,5,4,6,6,2,1,5,4,4,2,12,36,2,9,1,1,C03,7,8,1,10,2,14,,36,36,1,13,4,C03,120.636619,24.168399,2
67,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,9,50,臺中市,和平區,0,0,0,7,1,6,30,14,9,1,5,4,5,7,4,4,7,5,5,2,14,49,,,,,B03,,,1,,2,,,49,49,1,13,4,B03,121.009772,24.20433,3
68,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,9,53,臺中市,北屯區,0,1,0,7,1,6,50,13,7,1,5,4,6,6,4,4,3,4,4,2,12,40,3,10,3,1,B03,7,8,1,8,2,4,,40,40,1,13,4,B03,120.685566,24.169886,2
69,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,9,55,臺中市,大雅區,0,0,0,7,,,50,,,,,,,,,,,,,,,8,,,,,B03,,,1,,2,,,8,,1,12,4,B03,120.65254,24.228274,3
70,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,9,57,臺中市,烏日區,0,1,0,7,3,6,50,13,9,1,5,4,6,6,4,4,5,4,5,2,16,47,3,10,3,1,B03,7,5,1,8,2,5,,47,47,1,12,4,B03,120.597768,24.10996,2
71,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,9,59,臺中市,豐原區,0,1,0,7,1,6,50,4,2,1,5,4,6,6,2,1,1,3,4,2,13,7,2,9,1,1,C03,7,9,1,10,2,11,,7,7,1,13,4,C03,120.703156,24.243019,2
72,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,10,0,臺中市,大里區,0,1,0,7,3,6,50,13,7,1,5,4,6,6,4,4,9,5,4,2,12,8,3,10,3,1,B03,7,9,1,8,2,2,,8,8,1,6,4,B03,120.690489,24.113647,2
73,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,10,7,臺中市,沙鹿區,0,1,0,7,2,6,50,13,8,1,5,4,6,6,4,4,1,4,4,2,18,84,2,9,2,1,C03,7,12,1,10,2,14,,84,84,1,6,4,C03,120.558068,24.225926,2
74,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,10,11,臺中市,大里區,0,0,0,7,2,6,60,5,1,1,5,4,6,6,1,1,1,5,4,1,13,7,,,,,B03,,,1,,2,,,7,,1,13,4,B03,120.681364,24.104849,3
75,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,10,12,臺中市,北區,0,0,0,8,,,50,,,,,,,,,,,,,,13,84,,,,,B03,,,1,,1,,,84,,1,13,4,B03,120.685089,24.161558,3
76,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,10,12,臺中市,大甲區,0,1,0,7,2,6,50,3,1,1,5,4,6,6,4,4,10,5,5,2,15,51,3,10,1,1,C04,7,1,1,10,2,13,,51,51,1,13,4,C04,120.617607,24.346794,2
77,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,10,18,臺中市,沙鹿區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,4,4,9,5,5,2,15,12,2,9,2,1,C03,7,9,1,10,2,14,,12,12,1,12,4,C03,120.562707,24.24322,2
78,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,10,23,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,2,35,,,,,B03,,,1,,1,,,35,35,1,12,4,B03,120.685448,24.170435,3
79,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,10,31,臺中市,北區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,4,4,5,5,5,2,16,20,2,9,1,1,C03,7,9,1,10,2,12,,20,20,1,12,4,C03,120.682378,24.163945,2
80,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,10,31,臺中市,后里區,0,0,0,8,1,6,60,13,12,1,5,4,6,6,4,4,1,5,4,1,14,49,,,,,B12,,,1,,2,,,49,49,1,13,4,B12,120.723531,24.294182,3
81,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,10,33,臺中市,東區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,16,48,2,9,2,1,C03,7,6,1,10,2,12,,48,48,1,6,4,C03,120.683773,24.133152,2
82,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,10,34,臺中市,南屯區,0,0,0,7,,,50,,,,,,,,,,,,,,13,7,,,,,B03,,,1,,1,,,7,,1,12,4,B03,120.646641,24.142582,3
83,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,10,35,臺中市,沙鹿區,0,0,0,7,,,50,,,,,,,,,,,,,,,8,,,,,A12,,,1,,2,,,8,,1,13,5,A12,120.568323,24.239798,3
84,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,10,40,臺中市,豐原區,0,1,0,7,3,6,50,13,8,1,5,4,6,6,4,4,5,5,4,1,13,7,3,10,1,1,C03,7,9,1,10,2,11,,7,6,1,6,4,C03,120.726333,24.251658,2
85,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,10,43,臺中市,太平區,0,1,0,7,3,6,50,4,1,1,5,4,6,6,3,1,10,5,5,2,15,24,2,9,2,1,C03,7,9,1,10,2,12,,24,24,1,12,2,C03,120.722044,24.155895,2
86,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,10,45,臺中市,梧棲區,0,1,0,7,1,6,40,4,1,1,5,4,5,6,2,1,5,5,5,1,17,11,3,10,1,1,C03,7,6,1,10,2,12,,11,11,2,6,4,C03,120.529331,24.251621,2
87,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,10,50,臺中市,豐原區,0,0,0,7,,,40,,,,,,,,,,,,,,,7,,,,,B03,,,1,,2,,,7,,1,13,4,B03,120.71729,24.25178,4
88,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,10,53,臺中市,沙鹿區,0,1,0,7,2,6,50,3,1,1,5,4,6,6,4,4,10,4,4,2,17,48,2,9,5,4,C03,7,6,1,10,2,15,,48,48,1,12,4,C03,120.550239,24.229215,2
89,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,10,54,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,84,,,,,B12,,,1,,11,,,84,84,2,12,4,B12,120.695072,24.179211,3
90,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,10,58,臺中市,南屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,7,,,,,B03,,,1,,1,,,7,,1,12,4,B03,120.624062,24.144927,3
91,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,11,2,臺中市,太平區,0,0,0,7,,,50,,,,,,,,,,,,,,,8,,,,,B03,,,1,,1,,,8,,1,12,4,B03,120.711147,24.140836,3
92,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,11,5,臺中市,西屯區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,12,40,2,8,5,4,C03,7,8,1,10,2,14,,40,40,1,13,4,C03,120.664743,24.177838,2
93,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,11,9,臺中市,霧峰區,0,0,0,7,,,30,,,,,,,,,,,,,,,49,,,,,A11,,,1,,2,,,49,,1,6,4,A11,,,3
94,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,11,13,臺中市,南屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,27,,,,,B03,,,1,,1,,,27,,1,12,4,B03,120.62339,24.1497,3
95,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,11,13,臺中市,梧棲區,0,2,0,7,3,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,13,7,3,10,3,1,B03,7,9,1,8,2,8,,7,7,1,9,4,B03,120.530457,24.225664,2
96,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,11,15,臺中市,東區,0,1,0,7,1,6,50,14,9,1,5,4,6,6,4,4,5,5,5,2,13,59,3,10,3,1,B03,7,9,1,8,2,5,,59,59,1,12,4,B03,120.685997,24.132786,2
97,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,11,15,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,13,84,,,,,B03,,,1,,1,,,84,84,1,13,4,B03,120.71395,24.164315,3
98,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,11,16,臺中市,北屯區,0,1,0,7,1,6,50,4,2,1,5,4,6,6,4,4,9,5,5,2,18,59,2,9,1,1,C03,7,5,1,10,2,12,,59,59,1,13,4,C03,120.692918,24.16228,2
99,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,11,18,臺中市,豐原區,0,1,0,7,2,6,60,13,8,1,5,4,6,6,4,4,1,5,4,2,16,26,2,8,4,1,F01,7,9,7,21,2,15,,26,26,1,13,4,F01,120.730873,24.245051,2
100,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,11,18,臺中市,豐原區,0,0,0,7,,,30,,,,,,,,,,,,,,14,49,,,,,B11,,,1,,2,,,49,,1,13,4,B11,120.716525,24.251329,3
101,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,11,20,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,2,7,,,,,B12,,,1,,1,,,7,,1,12,4,B12,120.620933,24.186822,3
102,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,11,25,臺中市,西區,0,0,0,8,,,50,,,,,,,,,,,,,,,7,,,,,B03,,,1,,2,,,7,,1,12,4,B03,,,3
103,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,11,25,臺中市,東區,0,1,0,7,3,6,50,13,24,1,5,4,6,6,4,4,9,4,4,2,17,84,3,10,1,1,C03,7,11,1,11,2,11,,84,84,1,12,4,C03,120.689407,24.133874,2
104,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,11,25,臺中市,龍井區,0,0,0,7,,,50,,,,,,,,,,,,,,,51,,,,,B03,,,1,,2,,,51,,1,12,4,B03,120.523345,24.200141,3
105,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,11,28,臺中市,后里區,0,0,0,7,2,6,50,13,14,1,5,4,6,6,4,4,4,5,4,1,17,50,3,10,3,1,B12,7,3,1,8,2,2,,50,50,1,12,4,B12,120.716063,24.308508,3
106,66000,387130000C,(04)23274275,(04)23288582,2023,7,1,11,30,臺中市,北區,0,1,0,7,3,6,50,4,2,1,5,4,6,6,4,4,10,5,5,2,15,15,3,10,5,4,C03,7,9,1,10,2,11,,15,15,1,12,4,C03,120.695567,24.15222,2
