序號,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,光線,道路類別,速限_速度(公里),道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS緯度,GPS經度,事故類別,縣市別代碼,機關代碼,市話,傳真
11,2023,04,1,2,22,臺中市,北屯區,0,1,0,6,3,5,50,4,1,1,4,4,5,7,1,1,10,5,5,2,18,23,2,9,1,1,C03,7,9,1,10,2,14,"  ",23,23,1,22,8,C03,120.694831,24.175551,2,66000,387130000C,(04)23289100,(04)25368667
12,2023,04,1,2,31,臺中市,豐原區,0,0,0,6,,,50,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",B12,"  ","  ",1,"  ",2,"  ","  ",23,"   ",1,21,"  ",B12,120.701846,24.24955,3,66000,387130000C,(04)23289100,(04)25368667
13,2023,04,1,3,0,臺中市,大甲區,0,2,0,6,3,5,50,14,9,1,4,4,5,7,4,4,5,5,5,1,17,23,2,9,1,1,C03,7,9,2,18,2,11,"  ",23,23,1,15,8,C03,120.616003,24.34753,2,66000,387130000C,(04)23289100,(04)25368667
14,2023,04,1,3,2,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,19,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",1,"  ","  ",19,"   ",1,22,"  ",B03,120.722996,24.175578,3,66000,387130000C,(04)23289100,(04)25368667
15,2023,04,1,3,34,臺中市,潭子區,0,1,0,6,3,5,40,4,1,1,4,4,5,7,3,1,10,5,5,2,15,6,2,9,1,1,C03,7,9,1,10,2,11,"  ",6,6,1,22,8,C03,120.717415,24.218179,2,66000,387130000C,(04)23289100,(04)25368667
16,2023,04,1,3,35,臺中市,梧棲區,0,0,0,6,,,50,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",9,"  ","  ",23,"   ",1,22,"  ",B03,120.535386,24.259263,4,66000,387130000C,(04)23289100,(04)25368667
17,2023,04,1,3,52,臺中市,龍井區,0,1,0,6,3,5,30,11,9,1,4,4,5,7,4,4,10,5,5,2,29,23,2,9,3,4,C03,7,9,3,18,7,11,"  ",23,23,1,22,9,C03,120.522458,24.212843,2,66000,387130000C,(04)23289100,(04)25368667
18,2023,04,1,5,53,臺中市,東區,0,0,0,6,1,5,50,14,9,1,4,4,5,7,4,4,5,4,5,2,17,23,3,10,1,1,C03,7,9,1,10,2,12,"  ",23,23,1,5,8,C03,120.701391,24.132092,3,66000,387130000C,(04)23289100,(04)25368667
19,2023,04,1,5,54,臺中市,外埔區,0,2,0,6,1,5,50,4,1,1,4,4,5,7,3,1,10,5,5,2,16,6,2,9,1,1,C03,7,5,1,10,2,11,"  ",6,6,1,21,1,C03,120.652824,24.332274,2,66000,387130000C,(04)23289100,(04)25368667
20,2023,04,1,6,20,臺中市,霧峰區,0,0,0,6,,,60,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",C03,"  ","  ",1,"  ",9,"  ","  ",23,"   ",1,21,"  ",C03,120.695069,24.058928,3,66000,387130000C,(04)23289100,(04)25368667
21,2023,04,1,6,50,臺中市,北屯區,0,1,0,6,2,5,40,14,9,1,4,4,5,7,4,4,1,4,5,2,17,19,3,10,1,1,B03,7,1,1,8,2,8,"  ",19,19,1,22,8,B03,120.700223,24.178451,2,66000,387130000C,(04)23289100,(04)25368667
22,2023,04,1,6,58,臺中市,潭子區,0,1,0,6,1,5,30,4,1,1,4,4,5,7,4,4,5,5,5,2,15,6,3,10,1,1,B03,7,9,1,8,2,1,"  ",6,6,1,22,8,B03,120.701782,24.213347,2,66000,387130000C,(04)23289100,(04)25368667
23,2023,04,1,7,15,臺中市,北區,0,2,0,6,1,5,40,4,1,1,4,4,5,7,4,4,10,5,5,2,11,23,2,9,1,1,C03,7,9,1,10,2,14,"  ",23,23,1,22,9,C03,120.688834,24.159815,2,66000,387130000C,(04)23289100,(04)25368667
24,2023,04,1,7,16,臺中市,西屯區,0,1,0,6,1,5,50,4,1,1,4,4,5,7,4,4,10,5,5,2,16,23,2,9,3,4,C03,7,9,1,10,2,11,"  ",23,23,1,22,8,C03,120.633021,24.183145,2,66000,387130000C,(04)23289100,(04)25368667
25,2023,04,1,7,16,臺中市,豐原區,0,0,0,6,,,50,,,,,,,,,,,,,,,12,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",2,"  ","  ",12,"   ",1,22,"  ",B03,120.732321,24.251713,4,66000,387130000C,(04)23289100,(04)25368667
26,2023,04,1,7,18,臺中市,南區,0,0,0,,,,50,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",1,"  ","  ",44,23,1,22,"  ",B03,120.666122,24.119088,3,66000,387130000C,(04)23289100,(04)25368667
27,2023,04,1,7,20,臺中市,烏日區,0,0,0,6,,,30,,,,,,,,,,,,,,,7,"  ","  ","  ","  ",B01,"  ","  ",1,"  ",2,"  ","  ",7,"   ",1,22,"  ",B01,120.616396,24.112042,3,66000,387130000C,(04)23289100,(04)25368667
28,2023,04,1,7,20,臺中市,沙鹿區,0,0,0,6,,,60,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",B12,"  ","  ",1,"  ",2,"  ","  ",23,"   ",1,21,"  ",B12,120.615536,24.243847,3,66000,387130000C,(04)23289100,(04)25368667
29,2023,04,1,7,20,臺中市,沙鹿區,0,0,0,6,1,5,50,11,7,1,4,4,5,7,4,4,5,5,4,2,17,23,2,9,1,1,C03,7,9,1,10,2,11,"  ",23,23,1,21,8,C03,120.574888,24.239214,3,66000,387130000C,(04)23289100,(04)25368667
30,2023,04,1,7,25,臺中市,龍井區,0,0,0,6,,,90,,,,,,,,,,,,,,,42,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",2,"  ","  ",42,"   ",1,12,"  ",B03,120.516388,24.203746,3,66000,387130000C,(04)23289100,(04)25368667
31,2023,04,1,7,38,臺中市,南區,0,1,0,6,1,5,50,4,18,1,4,4,5,7,1,1,9,4,4,2,2,23,3,10,1,1,B03,7,5,1,8,2,1,"  ",23,23,1,5,1,B03,120.663061,24.123838,2,66000,387130000C,(04)23289100,(04)25368667
32,2023,04,1,7,38,臺中市,大肚區,0,0,0,6,,,50,,,,,,,,,,,,,,,12,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",2,"  ","  ",12,"   ",1,5,"  ",B03,120.544507,24.154418,3,66000,387130000C,(04)23289100,(04)25368667
33,2023,04,1,8,5,臺中市,清水區,0,0,0,6,,,50,,,,,,,,,,,,,,,6,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",2,"  ","  ",6,"   ",1,21,"  ",B03,120.577522,24.270381,3,66000,387130000C,(04)23289100,(04)25368667
34,2023,04,1,8,9,臺中市,豐原區,0,1,0,6,1,5,50,11,9,1,4,4,5,7,4,4,5,5,5,1,20,43,2,9,1,1,C03,7,9,1,10,2,14,"  ",43,43,1,22,8,C03,120.760796,24.262693,2,66000,387130000C,(04)23289100,(04)25368667
35,2023,04,1,8,15,臺中市,沙鹿區,0,0,0,6,,,30,,,,,,,,,,,,,,,12,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",2,"  ","  ",12,"   ",1,4,"  ",B03,120.557163,24.219077,3,66000,387130000C,(04)23289100,(04)25368667
36,2023,04,1,8,23,臺中市,南屯區,0,1,0,6,1,5,50,4,1,1,4,4,5,7,1,1,5,4,5,2,17,42,3,10,1,1,C03,7,9,1,10,2,12,"  ",42,42,1,22,8,C03,120.638251,24.147183,2,66000,387130000C,(04)23289100,(04)25368667
37,2023,04,1,8,25,臺中市,烏日區,0,0,0,6,,,80,,,,,,,,,,,,,,,16,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",1,"  ","  ",16,"   ",1,21,"  ",B03,120.616521,24.107356,3,66000,387130000C,(04)23289100,(04)25368667
38,2023,04,1,8,25,臺中市,豐原區,0,1,0,7,1,5,50,3,7,1,4,4,5,7,4,4,9,5,4,2,16,10,3,10,1,1,B03,7,11,1,8,2,4,"  ",10,10,1,22,8,B03,120.713936,24.24873,2,66000,387130000C,(04)23289100,(04)25368667
39,2023,04,1,8,30,臺中市,北屯區,0,0,0,6,,,40,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",B12,"  ","  ",1,"  ",2,"  ","  ",23,"   ",1,21,"  ",B12,120.721025,24.174051,3,66000,387130000C,(04)23289100,(04)25368667
40,2023,04,1,8,30,臺中市,東勢區,0,1,0,6,1,5,50,4,2,1,4,4,5,7,1,1,4,3,5,1,16,6,3,10,1,1,B03,7,5,4,10,2,1,"  ",6,6,1,22,9,B03,120.826868,24.262116,2,66000,387130000C,(04)23289100,(04)25368667
41,2023,04,1,8,32,臺中市,北屯區,0,1,0,6,1,5,50,4,2,1,4,4,5,7,1,1,3,4,5,2,18,23,2,9,1,1,C03,7,9,1,10,2,12,"  ",23,23,1,22,8,C03,120.685498,24.172177,2,66000,387130000C,(04)23289100,(04)25368667
42,2023,04,1,8,38,臺中市,東區,0,1,0,6,1,5,50,4,1,1,4,4,5,7,1,1,10,5,5,2,16,6,3,10,1,1,B03,7,6,1,8,2,5,"  ",6,6,1,22,9,B03,120.6838,24.135093,2,66000,387130000C,(04)23289100,(04)25368667
43,2023,04,1,8,38,臺中市,大里區,0,0,0,6,,,40,,,,,,,,,,,,,,,7,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",2,"  ","  ",7,"   ",1,5,"  ",B03,120.692308,24.101998,3,66000,387130000C,(04)23289100,(04)25368667
44,2023,04,1,8,38,臺中市,大里區,0,0,0,8,,,40,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",2,"  ","  ",23,"   ",1,22,"  ",B03,120.666997,24.083456,3,66000,387130000C,(04)23289100,(04)25368667
45,2023,04,1,8,42,臺中市,西屯區,0,0,0,,,,50,,,,,,,,,,,,,,,12,"  ","  ","  ","  ",B12,"  ","  ",1,"  ",1,"  ","  ",12,"   ",1,22,"  ",B12,120.590472,24.175904,3,66000,387130000C,(04)23289100,(04)25368667
46,2023,04,1,8,45,臺中市,潭子區,0,0,0,6,,,50,,,,,,,,,,,,,,,40,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",2,"  ","  ",40,"   ",1,22,"  ",B03,120.706876,24.211782,3,66000,387130000C,(04)23289100,(04)25368667
47,2023,04,1,8,47,臺中市,南屯區,0,0,0,6,,,50,,,,,,,,,,,,,,,40,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",1,"  ","  ",40,"   ",1,22,"  ",B03,120.638495,24.143363,3,66000,387130000C,(04)23289100,(04)25368667
48,2023,04,1,8,48,臺中市,北屯區,0,1,0,6,1,5,50,11,9,1,4,4,5,1,4,4,7,5,5,2,2,23,3,10,1,1,B03,7,9,1,8,2,5,"  ",23,23,1,21,8,B03,120.693596,24.162524,2,66000,387130000C,(04)23289100,(04)25368667
49,2023,04,1,8,49,臺中市,南區,0,0,0,8,,,50,,,,,,,,,,,,,,,19,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",2,"  ","  ",19,"   ",1,5,"  ",B03,120.684103,24.121318,3,66000,387130000C,(04)23289100,(04)25368667
50,2023,04,1,8,50,臺中市,西屯區,0,1,0,6,1,5,50,14,9,1,4,4,5,7,2,1,5,2,5,2,18,42,2,9,1,1,C03,7,9,1,10,2,15,"  ",42,42,1,22,8,C03,120.64241,24.169504,2,66000,387130000C,(04)23289100,(04)25368667
51,2023,04,1,8,50,臺中市,大里區,0,1,0,6,1,5,30,4,1,1,4,4,5,7,1,1,10,5,5,2,16,23,3,10,1,1,B12,7,5,1,7,2,6,"  ",23,23,1,11,5,B12,120.694218,24.113723,2,66000,387130000C,(04)23289100,(04)25368667
52,2023,04,1,8,52,臺中市,北屯區,0,0,0,6,,,50,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",1,"  ","  ",23,"   ",1,22,"  ",B03,120.664747,24.17869,3,66000,387130000C,(04)23289100,(04)25368667
53,2023,04,1,8,57,臺中市,北區,0,0,0,6,1,5,50,4,1,1,4,4,5,7,4,4,5,5,5,2,16,6,3,10,1,1,C03,7,9,2,18,2,12,"  ",6,6,1,5,5,C03,120.685149,24.149527,3,66000,387130000C,(04)23289100,(04)25368667
54,2023,04,1,8,59,臺中市,大里區,0,1,0,6,1,5,50,14,9,1,4,4,5,7,1,1,5,5,5,1,12,23,2,9,1,1,C03,7,9,1,10,2,14,"  ",23,23,1,22,8,C03,120.680161,24.095823,2,66000,387130000C,(04)23289100,(04)25368667
55,2023,04,1,9,0,臺中市,大里區,0,0,0,8,,,30,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",B12,"  ","  ",1,"  ",11,"  ","  ",23,23,1,21,"  ",B12,120.702947,24.087815,3,66000,387130000C,(04)23289100,(04)25368667
56,2023,04,1,9,0,臺中市,神岡區,0,1,0,8,1,5,50,5,1,1,5,4,5,7,1,1,1,4,4,2,17,8,3,10,1,1,B03,7,5,1,8,2,8,"  ",8,8,1,12,8,B03,120.694618,24.232781,2,66000,387130000C,(04)23289100,(04)25368667
57,2023,04,1,9,4,臺中市,東區,0,0,0,,,,50,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",2,"  ","  ",23,"   ",1,22,"  ",B03,120.693458,24.149058,3,66000,387130000C,(04)23289100,(04)25368667
58,2023,04,1,9,4,臺中市,沙鹿區,0,1,0,6,1,5,50,4,1,1,4,4,5,7,1,1,10,5,5,2,17,23,2,9,1,1,C03,7,9,1,10,2,14,"  ",23,23,1,21,8,C03,120.563551,24.242026,2,66000,387130000C,(04)23289100,(04)25368667
59,2023,04,1,9,6,臺中市,北屯區,0,1,0,6,1,5,30,4,1,1,4,4,5,7,3,1,10,5,5,2,15,6,2,9,1,1,C03,7,9,1,9,2,12,"  ",6,6,1,4,8,C03,120.670746,24.186956,2,66000,387130000C,(04)23289100,(04)25368667
60,2023,04,1,9,10,臺中市,西區,0,2,0,6,1,5,50,4,1,1,4,4,5,7,1,1,5,5,5,2,16,44,2,9,3,4,C03,7,9,1,10,2,14,"  ",44,44,1,21,8,C03,120.670857,24.137521,2,66000,387130000C,(04)23289100,(04)25368667
61,2023,04,1,9,10,臺中市,南屯區,0,1,0,6,1,5,50,14,9,1,4,4,5,7,4,4,5,5,5,2,17,40,3,10,1,1,B03,7,14,1,8,2,2,"  ",40,40,1,5,8,B03,120.635215,24.138688,2,66000,387130000C,(04)23289100,(04)25368667
62,2023,04,1,9,16,臺中市,太平區,0,0,0,6,,,30,,,,,,,,,,,,,,,12,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",2,"  ","  ",12,"   ",1,5,"  ",B03,120.727515,24.148378,3,66000,387130000C,(04)23289100,(04)25368667
63,2023,04,1,9,23,臺中市,大里區,0,0,0,6,,,50,,,,,,,,,,,,,,,12,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",1,"  ","  ",12,"   ",1,5,"  ",B03,120.676276,24.114566,3,66000,387130000C,(04)23289100,(04)25368667
64,2023,04,1,9,24,臺中市,太平區,0,2,0,6,1,5,50,14,9,1,4,4,5,7,4,4,5,5,5,1,16,42,2,9,1,1,C03,7,5,6,10,2,11,"  ",42,42,1,21,8,C03,120.719459,24.121439,2,66000,387130000C,(04)23289100,(04)25368667
65,2023,04,1,9,25,臺中市,北屯區,0,1,0,6,1,5,50,14,8,1,4,4,5,7,4,4,3,5,5,2,16,19,3,10,1,1,B03,7,1,1,8,2,4,"  ",19,19,1,22,8,B03,120.731557,24.161307,2,66000,387130000C,(04)23289100,(04)25368667
66,2023,04,1,9,27,臺中市,沙鹿區,0,0,0,6,,,60,,,,,,,,,,,,,,,16,"  ","  ","  ","  ",B12,"  ","  ",1,"  ",2,"  ","  ",16,"   ",1,4,"  ",B12,120.600024,24.249909,3,66000,387130000C,(04)23289100,(04)25368667
67,2023,04,1,9,34,臺中市,大甲區,0,0,0,6,,,50,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",2,"  ","  ",23,"   ",1,5,"  ",B03,120.621496,24.352473,3,66000,387130000C,(04)23289100,(04)25368667
68,2023,04,1,9,35,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,7,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",1,"  ","  ",7,"   ",1,22,"  ",B03,120.635898,24.176291,3,66000,387130000C,(04)23289100,(04)25368667
69,2023,04,1,9,39,臺中市,西屯區,0,1,0,7,1,5,40,4,1,1,4,4,5,7,2,1,5,4,4,2,18,42,2,9,3,4,C03,7,12,1,10,2,14,"  ",42,42,1,22,8,C03,120.651866,24.15683,2,66000,387130000C,(04)23289100,(04)25368667
70,2023,04,1,9,40,臺中市,大雅區,0,1,0,6,1,5,50,4,2,1,4,4,5,7,1,1,5,5,5,1,17,43,2,9,1,1,C03,7,9,1,10,2,12,"  ",43,43,1,21,8,C03,120.645263,24.225553,2,66000,387130000C,(04)23289100,(04)25368667
71,2023,04,1,9,46,臺中市,霧峰區,0,2,0,6,1,5,40,3,1,1,4,4,5,7,1,1,5,5,5,1,16,6,2,9,3,4,C03,7,5,1,10,2,11,"  ",6,6,1,22,8,C03,120.679824,24.065003,2,66000,387130000C,(04)23289100,(04)25368667
72,2023,04,1,9,46,臺中市,豐原區,0,2,0,6,1,5,50,4,1,1,4,4,5,7,1,1,3,5,5,2,17,26,2,9,1,1,C03,7,5,1,10,2,14,"  ",26,26,1,22,8,C03,120.70612,24.250038,2,66000,387130000C,(04)23289100,(04)25368667
73,2023,04,1,9,49,臺中市,后里區,0,0,0,,,,30,,,,,,,,,,,,,,,12,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",2,"  ","  ",12,"   ",1,21,"  ",B03,120.740944,24.32242,3,66000,387130000C,(04)23289100,(04)25368667
74,2023,04,1,9,50,臺中市,西屯區,0,0,0,6,,,50,,,,,,,,,,,,,,,7,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",1,"  ","  ",7,"   ",1,22,"  ",B03,120.647847,24.196114,3,66000,387130000C,(04)23289100,(04)25368667
75,2023,04,1,9,50,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,12,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",1,"  ","  ",12,"   ",1,22,"  ",B03,120.618928,24.179506,3,66000,387130000C,(04)23289100,(04)25368667
76,2023,04,1,9,53,臺中市,大安區,0,2,0,6,1,5,50,4,1,1,4,4,5,7,3,1,10,5,5,2,15,6,3,10,1,1,B03,7,9,1,3,2,5,"  ",6,6,1,9,8,B03,120.602761,24.376888,2,66000,387130000C,(04)23289100,(04)25368667
77,2023,04,1,9,55,臺中市,南屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,16,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",1,"  ","  ",16,16,1,22,"  ",B03,120.642682,24.140793,3,66000,387130000C,(04)23289100,(04)25368667
78,2023,04,1,9,57,臺中市,東區,0,1,0,6,1,5,50,11,9,1,4,4,5,7,4,4,9,5,5,2,11,17,3,10,1,1,B03,7,9,1,8,2,4,"  ",17,17,1,5,1,B03,120.69336,24.12533,2,66000,387130000C,(04)23289100,(04)25368667
79,2023,04,1,9,57,臺中市,豐原區,0,0,0,6,,,50,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",B03,"  ","  ",6,"  ",2,"  ","  ",23,"   ",1,22,"  ",B03,120.712788,24.254338,3,66000,387130000C,(04)23289100,(04)25368667
80,2023,04,1,9,59,臺中市,北區,0,1,0,6,1,5,50,4,2,1,4,4,5,7,2,1,5,4,4,2,16,9,3,10,3,4,B03,7,6,1,8,2,5,"  ",9,9,1,22,9,B03,120.675858,24.159215,2,66000,387130000C,(04)23289100,(04)25368667
81,2023,04,1,10,0,臺中市,中區,0,2,0,6,1,5,50,5,1,1,4,4,5,7,2,1,10,5,5,2,2,15,2,9,4,5,H01,8,16,8,20,10,16,"  ",67,15,1,5,5,H01,120.682445,24.145844,2,66000,387130000C,(04)23289100,(04)25368667
82,2023,04,1,10,0,臺中市,太平區,0,0,0,6,,,30,,,,,,,,,,,,,,,6,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",2,"  ","  ",6,"   ",1,5,"  ",B03,120.772908,24.114788,3,66000,387130000C,(04)23289100,(04)25368667
83,2023,04,1,10,0,臺中市,沙鹿區,0,0,0,6,,,30,,,,,,,,,,,,,,,25,"  ","  ","  ","  ",B12,"  ","  ",1,"  ",2,"  ","  ",25,"   ",1,4,"  ",B12,120.568682,24.209057,3,66000,387130000C,(04)23289100,(04)25368667
84,2023,04,1,10,4,臺中市,西屯區,0,0,0,6,,,50,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",1,"  ","  ",23,23,1,22,"  ",B03,120.642278,24.172604,3,66000,387130000C,(04)23289100,(04)25368667
85,2023,04,1,10,5,臺中市,東勢區,0,0,0,8,,,50,,,,,,,,,,,,,,,6,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",1,"  ","  ",6,"   ",1,22,"  ",B03,120.823523,24.268563,3,66000,387130000C,(04)23289100,(04)25368667
86,2023,04,1,10,6,臺中市,梧棲區,0,0,0,6,,,70,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",1,"  ","  ",23,23,1,3,"  ",B03,120.545059,24.226991,3,66000,387130000C,(04)23289100,(04)25368667
87,2023,04,1,10,8,臺中市,南區,0,0,0,,,,50,,,,,,,,,,,,,,,12,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",2,"  ","  ",12,"   ",1,22,"  ",B03,120.65609,24.134405,3,66000,387130000C,(04)23289100,(04)25368667
88,2023,04,1,10,9,臺中市,大里區,0,1,0,6,1,5,50,4,1,1,4,4,5,7,1,1,10,5,5,1,16,7,3,10,1,1,B03,7,8,1,8,2,2,"  ",7,7,1,4,8,B03,120.70118,24.100283,2,66000,387130000C,(04)23289100,(04)25368667
89,2023,04,1,10,15,臺中市,太平區,0,0,0,6,,,50,,,,,,,,,,,,,,,26,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",2,6,"  ",26,26,1,21,"  ",B03,120.715961,24.148798,3,66000,387130000C,(04)23289100,(04)25368667
90,2023,04,1,10,21,臺中市,東勢區,0,0,0,6,1,5,50,3,9,1,4,4,5,7,4,4,5,5,5,1,12,23,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",1,"  ","  ",23,"   ",1,22,"  ",B03,120.828719,24.256265,3,66000,387130000C,(04)23289100,(04)25368667
91,2023,04,1,10,22,臺中市,北屯區,0,0,0,6,,,50,,,,,,,,,,,,,,,23,"  ","  ","  ","  ",B03,"  ","  ",1,"  ",2,"  ","  ",23,"   ",1,4,"  ",B03,120.685911,24.17744,3,66000,387130000C,(04)23289100,(04)25368667
92,2023,04,1,10,22,臺中市,北屯區,0,1,0,6,1,5,50,14,9,1,4,4,5,7,4,4,9,5,5,2,16,10,3,10,1,1,B03,7,11,1,8,2,5,"  ",10,10,1,22,8,B03,120.682259,24.192867,2,66000,387130000C,(04)23289100,(04)25368667
93,2023,04,1,10,23,臺中市,南屯區,0,1,0,6,1,5,50,3,1,1,4,4,5,7,1,1,5,4,4,2,18,42,2,9,3,4,C03,7,9,1,10,2,14,"  ",42,42,1,22,9,C03,120.610591,24.131987,2,66000,387130000C,(04)23289100,(04)25368667
94,2023,04,1,10,27,臺中市,烏日區,0,0,0,6,,,30,,,,,,,,,,,,,,,19,"  ","  ","  ","  ",B02,"  ","  ",1,"  ",2,"  ","  ",19,"   ",1,1,"  ",B02,120.602637,24.11678,3,66000,387130000C,(04)23289100,(04)25368667
95,2023,04,1,10,29,臺中市,南屯區,0,1,0,8,1,5,30,4,1,1,4,4,5,7,4,4,10,5,5,2,18,23,2,9,1,1,C03,7,9,1,10,2,12,"  ",23,23,1,20,8,C03,120.639306,24.137679,2,66000,387130000C,(04)23289100,(04)25368667
