序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分(類別),車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS座標X,GPS座標Y,事故類別
82,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,39,臺中市,大雅區,0,2,0,7,2,6,30,11,9,1,5,4,6,6,4,4,10,5,5,2,17,41,2,9,1,1,C03,7,6,1,10,2,11,,41,41,1,12,4,C03,120.629024,24.206613,2
83,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,41,臺中市,北區,0,0,0,7,,,50,,,,,,,,,,,,,,,84,,,,,B12,,,1,,1,,,84,,1,13,4,B12,120.696032,24.161048,3
84,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,42,臺中市,沙鹿區,0,2,0,7,2,6,50,3,2,1,5,4,6,6,4,4,10,5,5,2,13,7,2,8,2,1,C03,7,9,5,10,2,11,,7,7,1,6,4,C03,120.560006,24.238967,2
85,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,43,臺中市,南區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,1,1,10,5,5,2,16,20,3,10,3,1,B03,7,5,1,8,2,6,,20,20,1,13,4,B03,120.650576,24.120293,2
86,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,43,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,58,,,,,B12,,,1,,1,,,58,58,1,13,4,B12,120.717407,24.174444,3
87,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,45,臺中市,西區,0,1,0,7,2,6,50,4,1,1,5,4,6,6,4,4,10,5,5,2,13,7,3,10,3,1,B03,7,9,1,8,2,5,,7,7,1,13,4,B03,120.673338,24.146439,2
88,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,46,臺中市,大里區,0,0,0,7,,,60,,,,,,,,,,,,,,13,58,,,,,B03,,,1,,2,,,58,,1,12,4,B03,120.691326,24.100872,3
89,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,47,臺中市,西屯區,0,1,0,7,3,6,40,3,8,1,5,4,6,6,4,4,1,4,1,2,12,14,3,10,3,1,B03,7,5,1,8,2,3,,14,14,1,12,4,B03,120.615268,24.182938,2
90,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,48,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,,45,,,,,B03,,,1,,2,,,45,,1,12,4,B03,120.713357,24.180083,3
91,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,48,臺中市,豐原區,0,1,0,7,3,6,40,13,8,1,5,4,6,6,4,4,9,4,4,2,17,59,2,9,4,1,F03,7,9,7,21,2,11,,59,59,1,12,4,F03,120.718441,24.253254,2
92,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,49,臺中市,北屯區,0,2,0,7,2,6,50,13,7,1,5,4,6,6,4,4,1,4,4,1,3,98,2,8,6,5,H01,8,16,7,21,10,17,,98,98,1,6,5,H01,120.662764,24.187451,2
93,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,51,臺中市,南區,0,0,0,7,,,50,,,,,,,,,,,,,,,14,,,,,C03,,,1,,2,,,14,,1,6,4,C03,120.668638,24.118668,3
94,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,51,臺中市,沙鹿區,0,2,0,7,2,6,50,3,1,1,5,4,6,6,4,4,1,4,4,2,12,48,2,9,5,1,C03,7,6,3,19,2,14,,48,48,1,13,4,C03,120.549889,24.229199,2
95,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,54,臺中市,潭子區,0,0,0,7,,,30,,,,,,,,,,,,,,,41,,,,,B03,,,1,,2,,,41,,1,13,4,B03,120.676711,24.205675,3
96,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,55,臺中市,南屯區,0,1,0,7,2,6,50,13,9,1,5,4,6,6,4,4,1,4,5,2,12,77,3,10,3,1,B01,7,14,1,4,2,2,,77,77,1,6,4,B01,120.639485,24.142106,2
97,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,57,臺中市,北屯區,0,1,0,7,3,6,50,4,1,1,5,4,6,6,4,4,10,5,5,2,15,15,3,10,3,1,B03,7,9,1,8,2,2,,15,15,1,12,4,B03,120.701708,24.185841,2
98,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,8,57,臺中市,和平區,0,1,0,7,3,6,50,3,2,1,5,4,6,6,3,1,6,3,5,1,16,24,3,10,3,1,B12,7,5,1,8,2,8,,24,24,1,12,4,B12,120.904187,24.169511,2
99,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,9,0,臺中市,中區,0,0,0,7,,,50,,,,,,,,,,,,,,13,7,,,,,C03,,,1,,1,,,7,,1,12,4,C03,120.678757,24.141681,3
100,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,9,0,臺中市,龍井區,0,2,0,7,2,6,50,3,1,1,5,4,6,6,4,4,10,5,5,2,16,14,2,9,1,1,C03,7,6,1,10,2,12,,14,14,1,12,4,C03,120.584578,24.183194,2
101,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,9,2,臺中市,東區,0,0,0,7,,,50,,,,,,,,,,,,,,13,58,,,,,B03,,,1,,2,,,58,,1,12,4,B03,120.705507,24.138424,3
102,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,9,4,臺中市,北區,0,0,0,7,,,50,,,,,,,,,,,,,,,8,,,,,B03,,,1,,2,,,8,,1,12,4,B03,120.672214,24.162161,3
103,66000,387130000C,(04)23274275,(04)23288582,2023,8,1,9,4,臺中市,北屯區,0,2,0,7,2,6,50,13,9,1,5,4,6,6,4,4,1,5,5,2,12,7,2,9,2,1,C03,7,9,1,10,2,12,,7,7,1,12,4,C03,120.692163,24.16218,2
